11,グリムノーツ The Animation,https://akiba-souken.k-img.com/thumbnail/images/official/d4/d4c5f7f27bef570cbbf20ba6415afab3.jpg?w=160&h=160,「グリムノーツ The Animation」は、2016年にサービスを開始したスクウェア・エニックスのスマホ用ゲームアプリ「グリムノーツ」を原作とするアニメ作品。原作ゲームは2018年に「グリムノーツ リページ」として大幅リニューアルされ、全世界で1700万DLを突破する人気タイトル。本作の監督は「境界のRINNE」「ディーふらぐ！」などを手掛けた菅原静貴が務める。メインキャストは、主人公・エクス役を逢坂良太、レイナ役を上田麗奈、タオ役を江口拓也、シェイン役を久保田未夢など。
12,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,https://akiba-souken.k-img.com/thumbnail/images/official/2e/2e176671be7d339679e9377474174d55.jpg?w=160&h=160,「週刊ヤングジャンプ」（集英社）にて連載中の赤坂アカの同名コミックが原作。コミックス第10巻をもって、累計発行部数（デジタル版含む）240万部を突破。「恋愛は告白した（好きになった）方が負けなのである。」という言葉をキャッチコピーに、秀才が集う秀知院学園の生徒会副会長・四宮かぐやと会長・白銀御行の素直になれない恋模様を描く。メインキャストは四宮かぐや役を古賀葵、白銀御行役を古川慎がそれぞれ演じる。監督には「グランクレスト戦記」「昭和元禄落語心中」シリーズの畠山守、シリーズ構成には同じく「昭和元禄落語心中」シリーズや「アイドルマスター SideM」「BanG Dream!」脚本の中西やすひろ、キャラクターデザインを「刀使ノ巫女」の八尋裕子、音楽を「終物語」の羽岡佳が担当し、アニメーション制作は「ソードアート・オンライン」シリーズ、「Fate/Apocrypha」のA-1 Picturesが手がける。
13,パパだって、したい,https://akiba-souken.k-img.com/thumbnail/images/official/29/29a908e0d5d990c0959269693bffee64.jpg?w=160&h=160,WEBコミック配信サイト「ComicFesta」（ウェイブ）にて連載中の世尾せりなによる女性向け同名マンガが原作。監督は「スカートの中はケダモノでした。」を手がけた熨斗谷充孝、脚本は西藤歩、キャラクターデザインは永井泰平、音響監督はえのもとたかひろ、音響制作はスタジオマウス、制作はピカンテが担当する。大学生・阿澄皇哉役を演じる山中真尋、シングルファザー・成瀬圭壱役を演じる寺島惇太は、主題歌「Home sweet Home」も担当する。
14,荒野のコトブキ飛行隊,https://akiba-souken.k-img.com/thumbnail/images/official/46/4670feadfc2cca67dea494741bf1856a.jpg?w=160&h=160,「荒野のコトブキ飛行隊」は、水島努（監督）と横手美智子（シリーズ構成）という「じょしらく」「SHIROBAKO」「監獄学園」などのヒット作を送り出した黄金コンビがおくる新作アニメ。凄腕の美少女チームが繰り広げる本格空戦アクションを描く。メインキャストはキリエ役を鈴代紗弓、エンマ役を幸村恵理、ケイト役を仲谷明香、レオナ役を瀬戸麻沙美、ザラ役を山村響、チカ役を富田美憂の6人。メインヒロイン6人が歌うエンディング主題歌「翼を持つ者たち」は、オープニング主題歌を務めるシンガーソングライター・ZAQが作詞・作曲を手がける。
15,賭ケグルイ××,https://akiba-souken.k-img.com/thumbnail/images/official/39/396aa441be2c8581b09e10928bf83482.jpg?w=160&h=160,河本ほむら（原作）、尚村透（作画）が「ガンガンJOKER」（スクウェア・エニックス）でシリーズ累計450万部を超えて連載中の人気コミックを原作としたTVアニメ。本作は2017年夏に公開された「賭ケグルイ」に続く第2期にあたる。第2期では生徒会選挙編がスタート。生徒会長の百喰綺羅莉が生徒会の解散・総選挙を宣言し、ギャンブルでやり取りされる対象が金から票になり誰しもが平等に生徒会長の座を目指せるようになる。今期から加わる新キャラクターは、総勢11人。生徒会長の綺羅莉に連なる「百喰（ももばみ）」一族をはじめ、原作・河本ほむらが完全監修＆作画・尚村透がキャラクター原案を行ったアニメオリジナルキャラクター「×喰零」も登場する。第1期に引き続き、監督は「牙狼〈GARO〉-炎の刻印-」の林祐一郎、シリーズ構成は「進撃の巨人」の小林靖子、キャラクターデザインは「神撃のバハムート VIRGIN SOUL」の秋田学で、アニメーション制作は「ユーリ!!! on ICE」「この世界の片隅に」のMAPPA。
16,どろろ,https://akiba-souken.k-img.com/thumbnail/images/official/79/79436deaca3bec24b6cb8d19cb53973a.jpg?w=160&h=160,マンガの神様「手塚治虫」が描いた未完の傑作「どろろ」をアニメ化。「ユーリ!!! on ICE」「この世界の⽚隅に」などで知られるMAPPA と、原作者・⼿塚治⾍が拠点としていたことでも知られる⼿塚プロダクションの2社による共同制作。百鬼丸役をTVアニメ声優初挑戦となる鈴木拡樹、どろろ役を新世代の女優として注目を集める鈴木梨央がメインキャストを務めるほか、舞台を中心に活躍中の鈴木拡樹は、舞台「どろろ」の主演も同時に務める。監督は「機動戦士ガンダム UC」や「るろうに剣心-明治剣客浪漫譚-」を手がけた古橋一浩、シリーズ構成は「進撃の巨人」「ジョジョの奇妙な冒険」を担当した小林靖子、キャラクター原案は「テガミバチ」「アイル」の作者である浅田弘幸、キャラクターデザインは「いぬやしき」「神撃のバハムート VIRGIN SOUL」で作画監督を務めた岩瀧智が担当する。
17,同居人はひざ、時々、頭のうえ。,https://akiba-souken.k-img.com/thumbnail/images/official/9f/9f505e93d4c27503c7341a514cd552f9.jpg?w=160&h=160,WEBコミック配信サイト「COMICポラリス」（フレックスコミックス）にて配信されている、みなつき原作・二ツ家あす作画のマンガが原作。小説家・朏素晴と元ノラ猫・ハルが出会い、互いに戸惑いながらも「家族」になっていく姿が描かれる。交流を描くひとつの出来事を素晴とハル、それぞれの目線で展開していく斬新な構成でストーリーが展開する。監督は鈴木薫、シリーズ構成は赤尾でこ、キャラクターデザインは北尾勝、そしてアニメーション制作はゼロジーが担当する。
18,斉木楠雄のΨ難 完結編,https://akiba-souken.k-img.com/thumbnail/images/official/0d/0d83faa831af1fdf978e1ec5c0ba6545.jpg?w=160&h=160,「斉木楠雄のΨ難」は、週刊少年ジャンプで連載中の麻生周一による人気ギャグマンガを原作としたアニメ作品。関連書籍は累計600万部を突破している。超能力者であることを隠しながら暮らす男子高校生と個性的なキャラクターが繰り広げる抱腹絶倒の日常を描く。実写映画化に続き、TVアニメ第1期、TVアニメ第2期が2018年1月から6月に放送された。第3期となる本作では、物語のクライマックスが描かれる。監督は「魁!!クロマティ高校」の桜井弘明、シリーズ構成は「監獄学園」の横手美智子。主人公・斉木楠雄役の神谷浩史、楠雄を「相棒」と呼ぶが実は鬱陶しがられている燃堂力役の小野大輔ら、人気男性声優陣のコミカルな演技にも注目を集めている話題作。
19,えんどろ～！,https://akiba-souken.k-img.com/thumbnail/images/official/9e/9e27e57279122a6a24b479928bb0ed67.jpg?w=160&h=160,「えんどろ～！」は、ありそうでなかった日常系ファンタジーを描くオリジナルアニメ。剣と魔法の大陸「ナラル島」を舞台に、魔王を倒すべく勇者を目指して冒険者学校へ通う主人公「ユーシャ」ことユーリア・シャルデットたちによる、ゆるゆるファンタジーライフが描かれる。アニメスタッフは、キャラクター原案に「ゆるゆり」などで人気を博すなもり、監督に「ゆゆ式」などを手がけてきたかおり、シリーズ構成に「干物妹！うまるちゃん」やアニメ版「ゆるゆり」などを担当してきたあおしまたかし、キャラクターデザインに「たまゆら」「ららマジ」など多くの作品に携わってきた飯塚晴子。そして、制作スタジオは「結城友奈は勇者である」「きんいろモザイク」などが話題を呼んだ“Studio五組”が担当する。Webコミックサイト「コミックファイア」（ホビージャパン）にてコミカライズ版が連載されるほか、フィギュアブランドAMAKUNIからフィギュア化など、メディアミックスプロジェクトにも注目が集まる期待作。
20,魔法少女特殊戦あすか,https://akiba-souken.k-img.com/thumbnail/images/official/39/3972df01ac6149bfddf62c5152d64287.jpg?w=160&h=160,「魔法少女特殊戦あすか」は、深見真原作、刻夜セイゴ作画による、月刊「ビッグガンガン」（スクウェア・エニックス刊）連載中の同名漫画のアニメ化作品。化け物の侵攻によって危機に瀕していた人類を救った魔法少女たちのその後を描く。TVアニメは、監督が「ストライク・ザ・ブラッド」シリーズの山本秀世、シリーズ構成が深見真と海法紀光、キャラクターデザインが鈴木陽子、音楽がR・O・Nが担当。アニメーション制作を手がけるのは、「LOST SONG」のライデンフィルム。
